id,loan_amount,term,int_rate,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,total_payment,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type
38656110,6675,36.0,21.99,E,E5,,RENT,13536.0,Verified,Jan-21,Fully Paid,n,debt_consolidation,16.13,0,Nov-06,2,3,4,0.0,6963.53,288.53,0.0,0.0,0.0,Mar-21,6724.95,Mar-21,0.0,1,INDIVIDUAL
38656067,26500,36.0,19.99,E,E3,< 1 year,RENT,78000.0,Source Verified,Jan-21,Charged Off,n,debt_consolidation,13.71,0,Mar-01,0,10,37,0.0,4182.27,2984.92,0.0,0.0,0.0,Aug-21,701.95,Jan-22,0.0,1,INDIVIDUAL
38656023,7200,36.0,8.19,A,A5,7 years,OWN,87000.0,Not Verified,Jan-21,Current,n,home_improvement,14.41,0,Mar-96,0,12,35,4992.93,2711.84,504.77,0.0,0.0,0.0,Jan-22,226.26,Jan-22,0.0,1,INDIVIDUAL
38656004,2000,36.0,10.49,B,B3,10+ years,RENT,71000.0,Not Verified,Jan-21,Current,n,debt_consolidation,25.54,0,Jan-99,0,11,19,1401.57,778.83,180.4,0.0,0.0,0.0,Jan-22,65.0,Jan-22,0.0,1,INDIVIDUAL
38655931,7675,36.0,13.66,C,C3,,OWN,22000.0,Verified,Jan-21,Current,n,debt_consolidation,20.57,0,Oct-81,0,12,26,5455.24,3126.78,907.02,0.0,0.0,0.0,Jan-22,261.05,Jan-22,0.0,1,INDIVIDUAL
38655854,9000,36.0,13.507328482328484,B,B3,10+ years,RENT,70000.0,Not Verified,Jan-21,Current,n,debt_consolidation,15.7,0,Dec-93,0,13,39,4418.2,5304.52,722.72,0.0,0.0,0.0,Jan-22,442.48,Jan-22,0.0,1,INDIVIDUAL
38655850,1500,36.0,6.99,A,A3,4 years,RENT,42000.0,Not Verified,Jan-21,Current,n,debt_consolidation,9.57,0,Apr-02,1,15,35,1034.4,555.14,89.54,0.0,0.0,0.0,Jan-22,46.31,Jan-22,0.0,1,INDIVIDUAL
38655738,2500,36.0,12.99,C,C2,1 year,MORTGAGE,48000.0,Not Verified,Jan-21,Current,n,home_improvement,30.5,0,Feb-06,0,15,24,1771.64,1008.96,280.6,0.0,0.0,0.0,Jan-22,84.23,Jan-22,0.0,1,INDIVIDUAL
38655669,5000,36.0,19.99,E,E3,10+ years,RENT,37500.0,Verified,Jan-21,Current,n,renewable_energy,33.15,0,Aug-05,1,6,20,3650.7,2224.05,874.75,0.0,0.0,0.0,Jan-22,185.8,Jan-22,0.0,1,INDIVIDUAL
38655614,4000,36.0,6.99,A,A3,6 years,RENT,45000.0,Not Verified,Jan-21,Current,n,major_purchase,28.96,0,Sep-05,1,13,23,2758.32,1480.45,238.77,0.0,0.0,0.0,Jan-22,123.5,Jan-22,0.0,1,INDIVIDUAL
38655449,5000,36.0,6.49,A,A2,10+ years,MORTGAGE,40000.0,Not Verified,Jan-21,Current,n,credit_card,11.85,0,Dec-00,0,11,31,3439.88,1836.96,276.84,0.0,0.0,0.0,Jan-22,153.23,Jan-22,0.0,1,INDIVIDUAL
38655110,5200,36.0,12.39,C,C1,10+ years,MORTGAGE,55000.0,Not Verified,Jan-21,Current,n,credit_card,20.6,0,Aug-08,1,6,13,3675.35,2080.7,556.05,0.0,0.0,0.0,Jan-22,173.69,Jan-22,0.0,1,INDIVIDUAL
38655068,7425,36.0,18.54,E,E1,1 year,RENT,65000.0,Verified,Jan-21,Fully Paid,n,debt_consolidation,17.58,0,Aug-05,2,15,25,0.0,7976.73,551.73,0.0,0.0,0.0,Jun-21,6902.58,Jun-21,0.0,1,INDIVIDUAL
38654901,6000,36.0,14.99,C,C5,7 years,RENT,40000.0,Source Verified,Jan-21,Fully Paid,n,debt_consolidation,13.05,0,Sep-06,1,7,11,0.0,6468.94,468.94,0.0,0.0,0.0,Jul-21,5434.09,Jan-22,0.0,1,INDIVIDUAL
38654722,5375,36.0,12.99,C,C2,10+ years,RENT,44000.0,Verified,Jan-21,Fully Paid,n,debt_consolidation,34.37,0,Mar-04,2,9,42,0.0,5428.05,53.05,0.0,0.0,0.0,Feb-21,5435.81,Jan-22,0.0,1,INDIVIDUAL
38654532,7400,36.0,9.49,B,B2,10+ years,MORTGAGE,135000.0,Not Verified,Jan-21,Fully Paid,n,home_improvement,16.32,0,Jan-81,1,17,33,0.0,7807.04,407.04,0.0,0.0,0.0,Dec-21,3437.65,Dec-21,0.0,1,INDIVIDUAL
38654156,2200,36.0,10.49,B,B3,10+ years,RENT,105000.0,Not Verified,Jan-21,Fully Paid,n,debt_consolidation,11.49,0,Sep-93,0,9,15,0.0,2346.01,146.01,0.0,0.0,0.0,Sep-21,1848.07,Sep-21,0.0,1,INDIVIDUAL
